project	project_id	filename	url	md5	size_mb
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0036.agc	https://osf.io/download/6a35eec30a30bcb1751cd2e2/	d153355f0361a0bf5d5696ec6a60392e	18.861282
Pseudomonas_aeruginosa	z7q5y	Pseudomonas_aeruginosa_global_ordered_0003.agc	https://osf.io/download/6a35ebf06f156d70891cd309/	0e8cce5ce4b2887695906c11c0d0ba87	101.835841
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0065.agc	https://osf.io/download/6a35efb0705a59d1b72bf2d5/	c74df163c9da5a8039ca1200e01fea1c	26.981060
subthreshold_remainder	z7q5y	subthreshold_remainder_global_ordered_0064.agc	https://osf.io/download/6a35f72be7aee1317e1cd27c/	68b790133a11a81117aa225776d23b7e	198.649741
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0052.agc	https://osf.io/download/6a35de544ea5ffb3381cd2e3/	6edb2d8133af720473779ad98de0ade0	56.851158
Escherichia_coli	z7q5y	Escherichia_coli_global_ordered_0044.agc	https://osf.io/download/6a35dd4131a46365ba1cd297/	65750af50ca141de0aaac16cae568e0c	97.669844
Citrobacter_A_farmeri	z7q5y	Citrobacter_A_farmeri_global_ordered_0001.agc	https://osf.io/download/6a35d21c8970a2f2022bf2b2/	d41b36664b3f94bb86d1fae49661a0bb	15.503363
Salmonella_enterica	z7q5y	Salmonella_enterica_global_ordered_0028.agc	https://osf.io/download/6a35ee847825db54b516678d/	65609ec71d7ded25836a8b3dc761c100	18.980155
Listeria_monocytogenes	z7q5y	Listeria_monocytogenes_global_ordered_0005.agc	https://osf.io/download/6a35e64aeec5fd85c82bf2ff/	ad247e828d863aee072448d1b3f81d06	14.337632
Enterococcus_B_faecium	z7q5y	Enterococcus_B_faecium_global_ordered_0001.agc	https://osf.io/download/6a35d6048fca0a0bf316677e/	cac9ed71bf83a15d087b9f8d872241e9	51.678674
Staphylococcus_haemolyticus	z7q5y	Staphylococcus_haemolyticus_global_ordered_0001.agc	https://osf.io/download/6a35f36b95c715f0241cd289/	efd848e9debe6fb066141198c1ba6ef5	26.024889
